"pid","yearbuilt","location","totval","bedrooms","bathrooms","halfbaths","multibuilding","zone","neighborhood","landval","acres","exval","address"
"23",1940,"5 DOUGLASS AV",185100,2,1,1,FALSE,"RS2","0101","59,600",0.16,3200,"5 DOUGLASS AVE, NEW HAVEN, CT 06512"
"24",1940,"11 DOUGLASS AV",249900,3,2,0,FALSE,"RS2","0101","56,500",0.13,3500,"11 DOUGLASS AVE, NEW HAVEN, CT 06512"
"25",1940,"17 DOUGLASS AV",129600,2,1,0,FALSE,"RS2","0101","56,500",0.13,0,"17 DOUGLASS AV, NEW HAVEN, CT 06511"
"26",1925,"23 DOUGLASS AV",128900,2,1,0,FALSE,"RS2","0101","56,500",0.13,0,"23 DOUGLASS AV, NEW HAVEN, CT 06512"
"27",1940,"29 DOUGLASS AV",170200,4,1,0,FALSE,"RS2","0101","55,000",0.12,0,"29 DOUGLASS AV, NEW HAVEN, CT 06512"
"28",NA,"32 URIAH ST",60100,NA,NA,NA,FALSE,"RS2","0101","60,100",0.27,0,"165 CHURCH ST, NEW HAVEN, CT 06510"
"29",1975,"24 URIAH ST",169100,3,1,0,FALSE,"RS2","0101","55,300",0.13,0,"24 URIAH ST, NEW HAVEN, CT 06512"
"30",1969,"20 URIAH ST",151500,3,1,0,FALSE,"RS2","0101","56,500",0.13,0,"577 WHALLEY AVE, NEW HAVEN, CT 06511"
"31",1930,"1 TOWNSEND AV",167300,2,1,0,FALSE,"RS2","0101","60,400",0.18,3200,"1  TOWNSEND AV, NEW HAVEN, CT 06512"
"32",1938,"1 TOWNSEND AV #A",173100,2,1,0,FALSE,"RS2","0101","60,800",0.19,3200,"1 TOWNSEND AV, NEW HAVEN, CT 06512"
"33",1952,"1 TOWNSEND AV #B",203400,3,1,1,FALSE,"RS2","0101","60,800",0.19,3700,"1B TOWNSEND AVE, NEW HAVEN, CT 06512"
"34",1927,"9 TOWNSEND AV",183400,3,1,1,FALSE,"RS2","0101","57,800",0.12,0,"9 TOWNSEND AV, NEW HAVEN, CT 06512"
"35",1935,"17 JOHNSTON ST",166900,3,1,1,FALSE,"RS2","0101","60,500",0.29,0,"17 JOHNSTON ST, NEW HAVEN, CT 06512"
"36",1920,"30 DOUGLASS AV",151800,3,1,0,FALSE,"RS2","0101","55,700",0.14,3400,"43 TOLLI TER, NEW HAVEN, CT 06512"
"37",1930,"24 DOUGLASS AV",188100,3,1,0,FALSE,"RS2","0101","56,900",0.14,3500,"24 DOUGLASS AV, NEW HAVEN, CT 06512"
"38",1930,"20 DOUGLASS AV",183000,3,1,0,FALSE,"RS2","0101","56,900",0.14,0,"20 DOUGLASS AV, NEW HAVEN, CT 06511"
"39",1935,"3 TOWNSEND AV",275200,5,2,0,FALSE,"RS2","0101","63,500",0.28,0,"3 TOWNSEND AV, NEW HAVEN, CT 06512"
"40",1954,"3A TOWNSEND AV",160100,3,1,0,FALSE,"RS2","0101","59,600",0.16,0,"3 1/2 TOWNSEND AV, NEW HAVEN, CT 06512"
"41",1920,"5 TOWNSEND AV",165200,1,1,1,FALSE,"RS2","0101","59,100",0.15,0,"5 TOWNSEND AV, NEW HAVEN, CT 06512"
"42",1920,"7 TOWNSEND AV",196100,3,1,1,FALSE,"RS2","0101","58,700",0.14,0,"7 TOWNSEND AV, NEW HAVEN, CT 06512"
"43",NA,"MORRIS CSWY",3306600,NA,NA,NA,FALSE,"AIRPORT","FLY","3,306,600",10,0,"165 CHURCH ST, NEW HAVEN, CT 06510"
"44",NA,"URIAH ST",5978300,NA,NA,NA,FALSE,"BA","FLY","5,978,300",18.08,0,"165 CHURCH ST, NEW HAVEN, CT 06510"
"45",NA,"MORRIS CSWY",63100,NA,NA,NA,FALSE,"RS2","0101","60,400",0.18,0,"165 CHURCH ST, NEW HAVEN, CT 06510"
"46",1976,"25 TOWNSEND AV",378500,0,0,NA,FALSE,"BA","U","89,700",0.44,0,"984 ROUTE 9 SUITE A9, PARLIN, NJ 08859"
"47",1938,"19 MORRIS CSWY",180300,2,2,0,FALSE,"RS2","0101","58,800",0.22,0,"19 MORRIS CSWY, NEW HAVEN, CT 06512"
"48",1955,"25 MORRIS CSWY",189800,3,2,0,FALSE,"RS2","0101","59,900",0.26,3000,"25 MORRIS CAUSEWAY, NEW HAVEN, CT 06512"
"49",1960,"31 MORRIS CSWY",176200,2,1,0,FALSE,"RS2","0101","61,700",0.34,3000,"31 MORRIS CSWY, NEW HAVEN, CT 06511"
"50",1959,"39 MORRIS CSWY",155500,3,1,0,FALSE,"RS2","0101","59,200",0.23,3000,"39 MORRIS CSWY, NEW HAVEN, CT 06512"
"51",1950,"43 MORRIS CSWY",159800,3,1,1,FALSE,"RS2","0101","59,300",0.24,0,"345 EAST SHORE PKWY, NEW HAVEN, CT 06512"
"52",2006,"49 MORRIS CSWY",2967500,NA,NA,NA,FALSE,"RS2","U","621,500",0.22,6600,"345 EAST SHORE PARKWAY, NEW HAVEN, CT 06510"
"53",1925,"11 TOWNSEND AV",175400,2,1,0,FALSE,"RS2","0101","59,900",0.26,3400,"11  TOWNSEND AV, NEW HAVEN, CT 06512"
"54",1929,"13 TOWNSEND AV",171900,3,1,1,FALSE,"RS2","0101","59,200",0.23,3300,"13 TOWNSEND AV, NEW HAVEN, CT 06512"
"55",1945,"15 TOWNSEND AV",172500,3,1,0,FALSE,"RS2","0101","60,700",0.3,3400,"15  TOWNSEND AV, NEW HAVEN, CT 06512"
"56",1920,"17 TOWNSEND AV",146900,3,1,1,FALSE,"RS2","0101","56,200",0.15,3000,"17 TOWNSEND AV, NEW HAVEN, CT 06512"
"57",1920,"19 TOWNSEND AV",172600,4,2,0,FALSE,"RS2","0101","55,700",0.14,3400,"19 TOWNSEND AV, NEW HAVEN, CT 06512"
"58",1915,"21 TOWNSEND AV",174700,3,2,0,FALSE,"RS2","0101","55,700",0.14,3400,"21 TOWNSEND AV, NEW HAVEN, CT 06512"
"59",NA,"1209 DEAN ST",5500,NA,NA,NA,FALSE,"RS2","0101","5,500",0.07,0,"265 LIGHTHOUSE RD, NEW HAVEN, CT 06512"
"60",NA,"1227 DEAN ST",2700,NA,NA,NA,FALSE,"RS2","0101","2,700",0.03,0,"1224 DEAN ST, NEW HAVEN, CT 06512"
"61",NA,"1237 DEAN ST",2700,NA,NA,NA,FALSE,"RS2","0101","2,700",0.03,0,"1236 DEAN ST, NEW HAVEN, CT 06512"
"62",NA,"1251 DEAN ST",2700,NA,NA,NA,FALSE,"RS2","0101","2,700",0.03,0,"1254 DEAN ST, NEW HAVEN, CT 06512"
"63",NA,"DEAN ST",2700,NA,NA,NA,FALSE,"RS2","0101","2,700",0.03,0,"1254 DEAN ST, NEW HAVEN, CT 06512"
"64",NA,"1271 DEAN ST",3300,NA,NA,NA,FALSE,"RS2","0101","3,300",0.04,0,"1274 DEAN ST, NEW HAVEN, CT 06512"
"65",NA,"DEAN ST",1800,NA,NA,NA,FALSE,"RS2","0101","1,800",0.02,0,"1264 DEAN ST, NEW HAVEN, CT 06512"
"66",NA,"1285 DEAN ST",1800,NA,NA,NA,FALSE,"RS2","0101","1,800",0.02,0,"1284 DEAN STREET, NEW HAVEN, CT 06512"
"67",NA,"1305 DEAN ST",5800,NA,NA,NA,FALSE,"RS2","0101","5,800",0.12,0,"1340 DEAN ST, NEW HAVEN, CT 06511"
"68",NA,"1327 DEAN ST",5800,NA,NA,NA,FALSE,"RS2","0101","5,800",0.12,0,"1366 DEAN ST, NEW HAVEN, CT 06512"
"69",1930,"191 BURR ST",1601900,0,0,NA,FALSE,"AIRPORT","U","0",0,54800,"165 CHURCH ST, NEW HAVEN, CT 06510"
"70",NA,"269 BURR ST",400100,NA,NA,NA,FALSE,"AIRPORT","FLY","400,100",1.21,0,"165 CHURCH ST, NEW HAVEN, CT 06510"
"71",NA,"353 BURR ST",865800,NA,NA,NA,FALSE,"AIRPORT","FLY","863,000",2.61,0,"165 CHURCH ST, NEW HAVEN, CT 06510"
"72",NA,"425 DODGE AV",1286500,NA,NA,NA,FALSE,"AIRPORT","FLY","1,283,000",3.88,0,"165 CHURCH ST, NEW HAVEN, CT 06510"
"73",NA,"392 BURR ST",800,NA,NA,NA,FALSE,"PDD 48","0200","800",0.01,0,"165 CHURCH ST, NEW HAVEN, CT 06510"
"74",NA,"400 BURR ST #1",620,NA,NA,NA,FALSE,"PDU 108","0200","620",0.62,0,"23 MULLIGAN DR, WALLINGFORD, CT 06492"
"75",NA,"400 BURR ST #2",340,NA,NA,NA,FALSE,"PDU 108","0200","340",0.34,0,"23 MULLIGAN DR,  , WALLINFORD, CT 06492"
"76",NA,"400 BURR ST #3",410,NA,NA,NA,FALSE,"PDU 108","0200","410",0.41,0,"23 MULLIGAN DR,  , WALLINGFORD, CT 06492"
"77",1990,"396 BURR ST #4",255900,4,2,1,FALSE,"PDU 108","0200","62,400",0.62,5000,"C/O HERMAN DOSTIE, 23 MULLIGAN DR, WALLINGFORD, CT 06492"
"78",2009,"400 BURR ST #5",272800,3,2,1,FALSE,"PDU 108","0200","59,200",0.35,0,"23 MULLIGAN DR,  , WALLINGFORD, CT 06492"
"79",2009,"400 BURR ST #6",283900,3,2,1,FALSE,"PDU 108","0200","55,000",0.19,0,"23 MULLIGAN DR, WALLINGFORD, CT 06492"
"80",2009,"400 BURR ST #7",307800,3,2,1,FALSE,"PDU 108","0200","56,600",0.24,0,"23 MULLIGAN DR,  , WALLINGFORD, CT 06492"
"81",2009,"400 BURR ST #8",327500,3,2,1,FALSE,"PDU 108","0200","58,400",0.31,0,"23 MULLIGAN DR, WALLINGFORD, CT 06492"
"82",2009,"400 BURR ST #9",273300,3,2,1,FALSE,"PDU 108","0200","60,300",0.42,0,"23 MULLIGAN DR, WALLINGFORD, CT 06492"
"83",1955,"392 BURR ST",133800,3,1,0,FALSE,"PDU 108","0200","49,400",0.18,0,"392 BURR ST, NEW HAVEN, CT 06512"
"84",1957,"384 BURR ST",129200,3,1,0,FALSE,"RS2","0200","51,000",0.24,0,"384 BURR ST, NEW HAVEN, CT 06512"
"85",1957,"374 BURR ST",129600,3,1,0,FALSE,"RS2","0200","51,000",0.24,0,"374 BURR ST, NEW HAVEN, CT 06512"
"86",1956,"366 BURR ST",132500,3,1,1,FALSE,"RS2","0200","51,000",0.24,0,"366 BURR ST, NEW HAVEN, CT 06512"
"87",1930,"360 BURR ST",143600,4,2,0,FALSE,"RS2","0200","51,600",0.27,0,"22 CONIFER DR, HAMDEN, CT 06518"
"88",1950,"354 BURR ST",143000,3,1,1,FALSE,"RS2","0200","51,000",0.24,0,"354  BURR ST, NEW HAVEN, CT 06512"
"89",1941,"348 BURR ST",175400,3,1,0,FALSE,"RS2","0200","51,000",0.24,0,"348 BURR ST, NEW HAVEN, CT 06512"
"90",NA,"344 BURR ST",3600,NA,NA,NA,FALSE,"RS2","0200","3,600",0.04,0,"165 CHURCH ST, NEW HAVEN, CT 06510"
"91",NA,"342 BURR ST",63500,NA,NA,NA,FALSE,"RS2","0200","63,500",0.73,0,"165 CHURCH ST, NEW HAVEN, CT 06511"
"92",1950,"340 BURR ST",149600,3,1,0,FALSE,"RS2","0200","50,100",0.21,0,"340 BURR ST, NEW HAVEN, CT 06512"
"93",1968,"336 BURR ST",168600,3,1,1,FALSE,"RS2","0200","51,200",0.25,3200,"336 BURR ST, NEW HAVEN, CT 06512"
"94",1964,"330 BURR ST",146300,3,1,0,FALSE,"RS2","0200","51,200",0.25,0,"330 BURR ST, NEW HAVEN, CT 06512"
"95",1967,"320 BURR ST",150500,3,1,1,FALSE,"RS2","0200","51,200",0.25,0,"320 BURR ST, NEW HAVEN, CT 06512"
"96",1965,"310 BURR ST",156700,3,1,0,FALSE,"RS2","0200","50,000",0.2,0,"310 BURR ST, NEW HAVEN, CT 06512"
"97",1968,"175 TOWNSEND TER",266400,3,1,1,FALSE,"RS2","0200","55,100",0.19,3200,"175 TOWNSEND TER, NEW HAVEN, CT 06512"
"98",1970,"155 TOWNSEND TER",297500,4,2,1,FALSE,"RS2","0200","56,900",0.25,3400,"155 TOWNSEND TERR, NEW HAVEN, CT 06512"
"99",1969,"147 TOWNSEND TER",227600,3,2,1,FALSE,"RS2","0200","57,800",0.29,3700,"147 TOWNSEND TERRACE, NEW HAVEN, CT 06512"
"100",1965,"135 TOWNSEND TER",190400,3,1,2,FALSE,"RS2","0200","59,800",0.39,0,"59 WINCHESTER DR, NORTH HAVEN, CT 06473"
"101",1969,"215 HYDE ST",207000,2,1,0,FALSE,"RS2","0200","54,400",0.17,3700,"215 HYDE ST, NEW HAVEN, CT 06512"
"102",1972,"223 HYDE ST",157200,2,1,1,FALSE,"RS2","0200","54,400",0.17,0,"223 HYDE STREET, NEW HAVEN, CT 06512"
"103",1966,"235 HYDE ST",217200,3,2,0,FALSE,"RS2","0200","56,900",0.25,0,"235 HYDE ST, NEW HAVEN, CT 06512"
"104",1969,"118 TOWNSEND TER",225300,4,1,1,FALSE,"RS2","0200","54,400",0.17,3200,"118 TOWNSEND TER, NEW HAVEN, CT 06512"
"105",1969,"126 TOWNSEND TER",160800,2,1,1,FALSE,"RS2","0200","58,700",0.33,0,"126 TOWNSEND TER, NEW HAVEN, CT 06512"
"106",1963,"132 TOWNSEND TER",171300,3,2,0,FALSE,"RS2","0200","58,700",0.33,0,"132 TOWNSEND TERR, NEW HAVEN, CT 06512"
"107",1966,"140 TOWNSEND TER",181500,3,1,1,FALSE,"RS2","0200","59,500",0.37,0,"140 TOWNSEND TER, NEW HAVEN, CT 06512"
"108",1965,"144 TOWNSEND TER",165800,3,1,1,FALSE,"RS2","0200","60,700",0.44,3200,"144 TOWNSEND TER, NEW HAVEN, CT 06512"
"109",1965,"150 TOWNSEND TER",152300,2,2,0,FALSE,"RS2","0200","59,700",0.38,3200,"150 TOWNSEND TER, NEW HAVEN, CT 06512"
"110",1969,"158 TOWNSEND TER",202100,3,2,0,FALSE,"RS2","0200","57,100",0.26,3700,"158 TOWNSEND TERR, NEW HAVEN, CT 06512"
"111",1971,"164 TOWNSEND TER",222500,3,2,0,FALSE,"RS2","0200","56,900",0.25,4300,"189 ROSE ST EXTENSION, EAST HAVEN, CT 06513"
"112",1972,"168 TOWNSEND TER",183200,3,2,0,FALSE,"RS2","0200","58,000",0.3,3400,"168 TOWNSEND TER, NEW HAVEN, CT 06512"
"113",1968,"172 TOWNSEND TER",215500,3,2,0,FALSE,"RS2","0200","56,900",0.25,3700,"172 TOWNSEND TER, NEW HAVEN, CT 06512"
"114",1962,"176 TOWNSEND TER",185700,3,1,1,FALSE,"RS2","0200","57,300",0.27,3200,"176 TOWNSEND TER, NEW HAVEN, CT 06512"
"115",NA,"400 BURR ST",1600,NA,NA,NA,FALSE,"RS2","0200","1,600",0.02,0,"400 BURR ST, NEW HAVEN, CT 06512"
"116",1951,"393 BURR ST",153600,3,2,0,FALSE,"RS2","0200","50,700",0.23,0,"393 BURR ST, NEW HAVEN, CT 06511"
"117",NA,"15 HOLMES ST",56400,NA,NA,NA,FALSE,"RS2","0200","56,400",0.23,0,"155 BURR ST, NEW HAVEN, CT 06512"
"118",1963,"25 HOLMES ST",108000,3,1,1,FALSE,"RS2","0200","30,300",0.11,0,"25 HOLMES ST, NEW HAVEN, CT 06512"
"119",1959,"437 BURR ST",136100,3,2,0,FALSE,"RS2","0200","46,200",0.1,0,"437 BURR ST, NEW HAVEN, CT 06512"
"120",1970,"427 BURR ST",158300,3,1,1,FALSE,"RS2","0200","47,500",0.13,2800,"427 BURR ST, NEW HAVEN, CT 06512"
"121",2001,"419 BURR ST",2e+05,3,1,1,FALSE,"RS2","0200","51,400",0.26,0,"419 BURR ST, NEW HAVEN, CT 06512"
"122",1924,"409 BURR ST",145600,4,2,0,FALSE,"RS2","0200","47,900",0.14,0,"409 BURR ST, NEW HAVEN, CT 06512"
"123",2002,"401 BURR ST",214100,3,3,0,FALSE,"RS2","0200","51,200",0.25,0,"401 BURR ST, NEW HAVEN, CT 06512"
"124",2001,"18 HOLMES ST",195900,3,1,1,FALSE,"RS2","0200","50,100",0.21,0,"18 HOLMES ST, NEW HAVEN, CT 06512"
"125",NA,"BURR ST",800,NA,NA,NA,FALSE,"RS2","0200","800",0.01,0,"395 BURR ST, NEW HAVEN, CT 06512"
"126",NA,"402 BURR ST",50500,NA,NA,NA,FALSE,"RS2","0200","50,500",0.14,0,"165 CHURCH ST, NEW HAVEN, CT 06510"
"127",1971,"404 BURR ST",202600,3,2,0,FALSE,"RS2","0200","51,700",0.17,4700,"404 BURR ST, NEW HAVEN, CT 06512"
"128",1975,"412 BURR ST",185300,3,2,0,FALSE,"RS2","0200","51,700",0.17,3300,"412 BURR ST, NEW HAVEN, CT 06512"
"129",1978,"416 BURR ST",162100,3,1,1,FALSE,"RS2","0200","51,200",0.16,3800,"416 BURR ST, NEW HAVEN, CT 06512"
"130",1978,"420 BURR ST",174400,3,1,1,FALSE,"RS2","0200","50,900",0.15,0,"420 BURR ST, NEW HAVEN, CT 06512"
"131",NA,"434 BURR ST",54400,NA,NA,NA,FALSE,"RS2","0200","54,400",0.17,0,"434 BURR ST, NEW HAVEN, CT 06511"
"132",1978,"440 BURR ST",178800,3,1,1,FALSE,"RS2","0200","57,100",0.26,0,"440 BURR ST, NEW HAVEN, CT 06511"
"133",1974,"408 BURR ST",328800,4,4,0,FALSE,"RS2","0200","62,300",0.89,3800,"408 BURR ST, NEW HAVEN, CT 06512"
"134",NA,"428 BURR ST",12700,NA,NA,NA,FALSE,"RS2","0200","12,700",1.89,0,"428 BURR ST, NEW HAVEN, CT 06511"
"135",NA,"44 LAURA LA",5400,NA,NA,NA,FALSE,"RS2","0200","5,400",0.17,0,"42 LAURA LA, NEW HAVEN, CT 06512"
"136",1985,"675 TOWNSEND AV #116",157600,NA,NA,NA,FALSE,"PDD 48","0200","0",0,0,"675 TOWNSEND AV    116, NEW HAVEN, CT 06512"
"137",1985,"675 TOWNSEND AV #117",196700,NA,NA,NA,FALSE,"PDD 48","0200","0",0,4000,"675 TOWNSEND AV, NEW HAVEN, CT 06512"
"138",1985,"675 TOWNSEND AV #118",196700,NA,NA,NA,FALSE,"PDD 48","0200","0",0,4000,"675 TOWNSEND AV  UNIT 118, NEW HAVEN, CT 06512"
"139",1985,"675 TOWNSEND AV #119",157600,NA,NA,NA,FALSE,"PDD 48","0200","0",0,0,"675 TOWNSEND AV, UNIT 119, NEW HAVEN, CT 06512"
"140",1985,"675 TOWNSEND AV #120",155800,NA,NA,NA,FALSE,"PDD 48","0200","0",0,0,"675 TOWNSEND AV   120, NEW HAVEN, CT 06512"
"141",1985,"675 TOWNSEND AV #121",196700,NA,NA,NA,FALSE,"PDD 48","0200","0",0,4000,"675 TOWNSEND AV #121, NEW HAVEN, CT 06512"
"142",1984,"675 TOWNSEND AV #132",192700,NA,NA,NA,FALSE,"PDD 48","0200","0",0,0,"675 TOWNSEND AVE B-3 U-132, NEW HAVEN, CT 06512"
"143",1984,"675 TOWNSEND AV #133",155800,NA,NA,NA,FALSE,"PDD 48","0200","0",0,0,"675 TOWNSEND AV U-133 BLDG 3, NEW HAVEN, CT 06512"
"144",1984,"675 TOWNSEND AV #134",162000,NA,NA,NA,FALSE,"PDD 48","0200","0",0,0,"675 TOWNSEND AV 134, NEW HAVEN, CT 06512"
"145",1984,"675 TOWNSEND AV #135",190200,NA,NA,NA,FALSE,"PDD 48","0200","0",0,0,"675 TOWNSEND AV UNIT135, NEW HAVEN, CT 06512"
"146",1984,"675 TOWNSEND AV #136",190200,NA,NA,NA,FALSE,"PDD 48","0200","0",0,0,"675 TOWNSEND AV 136, NEW HAVEN, CT 06512"
"147",1984,"675 TOWNSEND AV #137",155500,NA,NA,NA,FALSE,"PDD 48","0200","0",0,0,"675 TOWNSEND AVE UNIT 137, NEW HAVEN, CT 06512"
"148",1984,"675 TOWNSEND AV #138",190200,NA,NA,NA,FALSE,"PDD 48","0200","0",0,0,"675 TOWNSEND AVE UNIT 138, NEW HAVEN, CT 06512"
"149",1984,"675 TOWNSEND AV #139",155800,NA,NA,NA,FALSE,"PDD 48","0200","0",0,0,"102 TOWNSEND TER, NEW HAVEN, CT 06512"
"150",1984,"675 TOWNSEND AV #140",155800,NA,NA,NA,FALSE,"PDD 48","0200","0",0,0,"675 TOWNSEND AV  140, NEW HAVEN, CT 06512"
"151",1984,"675 TOWNSEND AV #141",190200,NA,NA,NA,FALSE,"PDD 48","0200","0",0,0,"2900 GULF SHORE BLVD NORTH, APT 306 BORDEAUX CLUB, NAPLES, FL 34103"
"152",1984,"675 TOWNSEND AV #142",160700,NA,NA,NA,FALSE,"PDD 48","0200","0",0,0,"675 TOWNSEND AV 142, NEW HAVEN, CT 06512"
"153",1984,"675 TOWNSEND AV #143",193600,NA,NA,NA,FALSE,"PDD 48","0200","0",0,0,"675 TOWNSEND AV    UNIT 143, NEW HAVEN, CT 06512"
"154",1984,"675 TOWNSEND AV #154",196400,NA,NA,NA,FALSE,"PDD 48","0200","0",0,0,"675 TOWNSEND AV   UNIT 154, NEW HAVEN, CT 06512"
"155",1984,"675 TOWNSEND AV #155",155800,NA,NA,NA,FALSE,"PDD 48","0200","0",0,0,"675 TOWNSEND AV 156, NEW HAVEN, CT 06512"
"156",1984,"675 TOWNSEND AV #156",157600,NA,NA,NA,FALSE,"PDD 48","0200","0",0,0,"675 TOWNSEND AV, NEW HAVEN, CT 06512"
"157",1984,"675 TOWNSEND AV #157",190200,NA,NA,NA,FALSE,"PDD 48","0200","0",0,0,"675 TOWNSEND AV APT 157, NEW HAVEN, CT 06512"
"158",1984,"675 TOWNSEND AV #158",173500,NA,NA,NA,FALSE,"PDD 48","0200","0",0,0,"675 TOWNSEND AV UNIT 158, NEW HAVEN, CT 06512"
"159",1984,"675 TOWNSEND AV #159",190200,NA,NA,NA,FALSE,"PDD 48","0200","0",0,0,"PO BOX 26124, WEST HAVEN , CT 06516-0961"
"160",1984,"675 TOWNSEND AV #160",190200,NA,NA,NA,FALSE,"PDD 48","0200","0",0,0,"675 TOWNSEND AV UNUIT 160, NEW HAVEN, CT 06512"
"161",1984,"675 TOWNSEND AV #161",155800,NA,NA,NA,FALSE,"PDD 48","0200","0",0,0,"675 TOWNSEND AV 161, NEW HAVEN, CT 06512"
"162",1984,"675 TOWNSEND AV #162",157600,NA,NA,NA,FALSE,"PDD 48","0200","0",0,0,"675 TOWNSEND AV  #162, NEW HAVEN, CT 06512"
"163",1984,"675 TOWNSEND AV #163",177600,NA,NA,NA,FALSE,"PDD 48","0200","0",0,0,"675 TOWNSEND AVE UNIT 163, NEW HAVEN, CT 06512"
"164",1984,"675 TOWNSEND AV #164",190200,NA,NA,NA,FALSE,"PDD 48","0200","0",0,0,"675 TOWNSEND AV, NEW HAVEN, CT 06512"
"165",1984,"675 TOWNSEND AV #165",155800,NA,NA,NA,FALSE,"PDD 48","0200","0",0,0,"521 CATALINA ISLES CIR, VENICE, FL 34292"
"166",1984,"675 TOWNSEND AV #166",157500,NA,NA,NA,FALSE,"PDD 48","0200","0",0,0,"675 TOWNSEND AV UNIT 166, NEW HAVEN, CT 06512"
"167",1984,"675 TOWNSEND AV #167",155500,NA,NA,NA,FALSE,"PDD 48","0200","0",0,0,"675 TOWNSEND AV 167, NEW HAVEN, CT 06512"
"168",1984,"675 TOWNSEND AV #168",127500,NA,NA,NA,FALSE,"PDD 48","0200","0",0,0,"675 TOWNSEND AV  #168, NEW HAVEN, CT 06512"
"169",1984,"675 TOWNSEND AV #169",158500,NA,NA,NA,FALSE,"PDD 48","0200","0",0,0,"675 TOWNSEND AV, UNIT 169 BLDG 11, NEW HAVEN, CT 06512"
"170",1984,"675 TOWNSEND AV #170",155800,NA,NA,NA,FALSE,"PDD 48","0200","0",0,0,"675 TOWNSEND AV, NEW HAVEN, CT 06511"
"171",1984,"675 TOWNSEND AV #171",155500,NA,NA,NA,FALSE,"PDD 48","0200","0",0,0,"675 TOWNSEND AVE, UNIT 171, NEW HAVEN, CT 06512"
"172",1985,"675 TOWNSEND AV #178",175400,NA,NA,NA,FALSE,"PDD 48","0200","0",0,0,"34 CLINTON ST, GLASTONBURY, CT 06033"
